,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM
bendazac,0.1412359390845433,-0.1407616219808341,-0.0950798607273351,-0.2568736232357116,-0.1016073343467524,-0.0338176475389727,0.0572360180813461,0.0882454989556264,-0.2862948503439072,-0.2664497627983611,-0.1277725731259228,0.1917456182823414,0.1543836379255847,-0.1836234634107023,-0.0978620949865709,-0.0736000637827209,0.3141530474206242,0.1105046617893641,-0.0694791847605772,-0.0753200136459956,-0.0953638312866506,-0.0990883600977712,-0.1408628004843645,-0.0585281218254376,-0.1206856539118155,0.1591056230162923,0.0206006306157801,-0.056601174158873,-0.1088570014844211,0.050012677886601,-0.0582681952405715,0.2828358774467812,0.2068262238619479,-0.032080825379231,-0.1494211641936819,0.2780238504428636,-0.0353286821956413,-0.0727410481163941,0.254517389285034,-0.0328403611129953,-0.1318530651864053,0.1799038988605653,0.059356797112149,0.0146194054230651,-0.088197545198718,-0.1321135711357026,-0.0768575482121238,0.0140978066789548,-0.1856606676612747,0.0828244904694861
benzbromarone,0.2755524433628017,-0.1207925450727126,-0.0969599235737269,-0.1028799869462542,-0.021922614628623,-0.0438780507713633,0.0439806805154691,0.1987441956810572,-0.1634281464956389,-0.1806471712809653,-0.1511489915341427,0.1972679159103077,0.3919068286308331,0.0073178780628739,-0.124224402207211,-0.0460778336397556,0.3657544513911982,0.3088760958932962,-0.0246135139829766,-0.0897521470208523,-0.1606360487606979,-0.1126550012745067,-0.1123615234199149,-0.1674892064546219,-0.1707554285260711,-0.0187285840610336,-0.0650023699612528,-0.0121941163338396,-0.0949215060051351,0.1287978194035081,-0.0142305019975684,0.3747773999365005,0.0333203441709064,0.025693762364881,-0.042615359530393,0.385464751884208,-0.0585103477022077,-0.1603785900783004,0.2682430401879643,-0.0878573439733193,-0.2305547972216032,0.0714518969479024,0.1311428337025231,-0.0275427999471975,-0.1178580677475789,-0.1615185526855015,-0.0584747890718946,-0.0264603985014718,-0.0602014173815887,-0.0635025339799036
benziodarone,0.1752235007016195,-0.0543485858736683,-0.1692174990920507,-0.122664599820531,-0.0652213619919602,0.210005305689325,-0.0502874818009018,0.2085213443578941,-0.2357241122885376,-0.2101118742477684,-0.1698695509655746,-0.0781562737081505,0.0703850146769555,0.0133982344691113,-0.0480238645474747,0.0054914080966276,0.2918449051223024,0.1089260635089469,-0.0963320016212,-0.0329729008142964,-0.1559159132142084,-0.1220742806591393,-0.0637630321022009,-0.0824753848558389,-0.0909161696943179,-0.0270659966208356,-0.1384577734729977,0.1224600619057809,-0.0732445683954899,0.0940144527907211,-0.1882910659487143,0.013939144931589,-0.0756157805752981,0.0416215444799849,-0.1290526659057293,0.151798546800608,-0.0949311637016943,-0.0295901715777667,0.2211294156216854,-0.2206150183372816,-0.295189128522496,-0.0811378188306749,0.1187546148166297,-0.0278712282872655,-0.1050106291247147,-0.2472017220172029,-0.040368245279221,-0.1392481801260797,-0.0570193024990687,-0.0363219775981296
bortezomib,-0.20688804787613,0.0128893164056115,0.0832803691831473,0.0683690952108863,-0.0700277512638256,-0.161819443310714,0.1656848102819038,-0.3848077885761943,-0.1040788250604323,-0.1502386178574472,0.06745734658532,0.1527911197880786,0.0466066716475994,-0.0111954459202978,-0.1109592982125288,-0.0879924398754846,-0.3734927424956147,0.1240348682702208,-0.1063936656823384,-0.1171479849893677,0.0246667566311272,0.0316255079243674,0.106866596177055,0.2781645600531151,0.1338130528912905,0.1805274834593891,0.2111465460390432,-0.2440779192570434,-0.0084281708725107,0.1099885899020653,0.1312604944704967,0.4160774079879986,0.4231460589414791,-0.1148216239509919,-0.209202674058349,-0.2370971077742759,0.1284954351943256,-0.1794619544945323,-0.2284566838783597,0.1814002929676658,0.2165043831710292,0.1137294006508218,-0.0413077364837265,0.2374467390020966,0.3651310640792822,0.3193291307913115,0.0621082764162319,0.106924401229511,-0.0006387541961872,-0.2656682664352595
caffeine,-0.1365660599481393,-0.1121123789393468,-0.1222879723349734,-0.0416904625928254,0.0294437374058796,0.1693759693086285,-0.1306475166900505,0.0615007508932605,-0.1226547685443536,0.0302789775543508,-0.025863185327865,-0.2774418899710193,-0.3627977714536737,0.0202623545912115,0.0717148516719297,-0.0102207068622675,-0.1454974223977377,-0.3462321746930644,-0.0666073186266024,0.1285913466530312,0.0403820490906048,-0.0102604471233887,-0.0164900588543432,-0.0777831229975992,0.0126174488446694,-0.3634965813448202,-0.2231983142363968,0.2348041157907718,-0.0497683415051107,-0.1554546607080496,-0.2840194545770399,-0.4597691826790984,-0.4013384074866884,0.1025931615752075,-0.0584803521930473,-0.1695472741226459,-0.0503261731712334,0.1982096232749916,-0.1878452585853449,-0.1264385534096228,-0.1588982922316398,-0.340803330884288,0.1340963163508035,-0.0899129056698302,-0.1188128391857775,-0.249208179581789,-0.0443896896343615,-0.0947915137277885,-0.0549445169712815,-0.0025114321736019
captopril,0.0218072384557542,0.2439340557764756,-0.0982932384847464,-0.1872399445215126,0.1103863965779353,-0.0143151579463052,-0.0795077046891346,0.1497557439022024,0.1347202082171383,0.1336656517736735,0.0488622383735253,-0.0832092634261062,-0.2395939143112123,-0.1164177873112635,0.1021421496957952,0.1025635012943962,0.0225403093122875,-0.2968805295454475,-0.005737942215273,0.0240140019875819,-0.0632989968962317,0.0167663772809707,0.0837427103701958,0.237205253184399,0.0422525749428135,0.1102614915757273,0.1253575550243098,0.0155191901964388,0.1130928283328073,-0.2463677854901467,-0.0616626136297773,-0.2224070644736576,-0.143378355446273,-0.0416495272314098,0.0359595630197415,-2.36215760763131e-05,-0.046946072162777,-0.0148871689668109,0.0124962434773225,-0.0342544114449668,-0.1533897533897873,0.0887536008770585,-0.1450077939125507,-0.0779261401155395,0.048370343177016,-0.1530622181221664,-0.1725868822820221,-0.0830736332592863,0.1335812196941609,0.0419732996620596
carbamazepine,0.0576837399482927,-0.146797049995452,-0.0166994978603896,-0.1612547931794365,-0.0750167921660069,-0.0281303567055951,-0.0141187226322891,0.0371614506913395,0.0415541922290251,-0.1762975288537113,-0.124516405782081,0.2438277918318158,0.4900185525642005,-0.0681709429914891,-0.131941234730932,-0.0676471691742095,0.0680761215312281,0.3251116759515889,0.0415653407445952,-0.0996529168335007,-0.0847945061700707,-0.1183947340800469,-0.1224355566984404,-0.1637322223958492,-0.1327946794184854,-0.0185529141467751,-0.0831068131233987,-0.1285078448211877,-0.081714722684546,0.1167855218535092,0.1280035898326706,0.5143529679218807,0.3334485597742643,-0.0933602527402084,-0.0860883743681459,0.2296337395894395,-0.0843032196448345,-0.0841127377844245,0.1117777231374573,0.1302601424920704,0.0448873115539907,0.2369931073090687,0.0215768315694403,0.0235981844342213,-0.1344705216097695,0.071612341123418,-0.1230238047408165,0.0987355605969486,0.0686147892577394,-0.0135641324309059
carbontetrachloride,0.0766470744804966,0.1316213653108405,0.1329535047134628,0.0999020967610166,0.0377057776835067,-0.0485225695861594,0.1632980646245368,-0.1419490428268836,-0.0076408254322439,-0.0026502867662623,0.0773012205189682,0.2427953144298105,0.3393230412773578,0.147413579737602,-0.0400598971843695,0.0764529321276963,-0.053535519725038,0.3098053377432449,0.0811620635747902,-0.2052092140197478,0.0599238300871128,0.0744560898445077,0.0895854481814665,0.1167375654450074,0.0614810539783711,0.2353848552795598,0.1934934259334952,-0.2237569060774711,0.0561468220053026,0.1323270260847547,0.2957269411151828,0.4114294476202746,0.2590206590533577,-0.0524312813581681,-0.1833067014511414,0.0194594543520799,0.1206228653058611,-0.097223517344267,0.0205229079583682,0.1557575995180769,0.3555525222192199,0.2326487293423518,-0.079415866765105,0.0397745834694598,0.1697899502835681,0.4026445264452696,0.0411943802732076,0.1079444541799133,-0.0377471092875767,-0.0908298904085221
carboplatin,-0.1155606669293941,0.1803810509469654,-0.1044703058630556,0.1172799216773917,0.0685356052839367,0.0973553179332222,0.0954261595726154,0.0557421760370038,0.0678007064510059,0.1313226651561149,0.1419060694109427,0.0748704710168359,0.2324709049342041,0.0969639468690753,0.0381823326887683,0.0033973661501504,-0.0256169792694699,0.1622038945806121,0.0180562793121411,0.106876399827953,0.0456179808975405,0.0735849339510818,0.1192865517724231,0.1450156775025601,0.1112668443858129,0.1232521830440901,0.1341908127936633,-0.053764830342298,0.0057352345823349,0.1724826471427295,0.0275635458282568,-0.0434520060054614,-0.1075518361856362,0.0058008243718608,-0.0028371107125224,-0.2432917348630734,0.1471669270116714,-0.0676263521074331,-0.0056935223888656,0.0886851024852313,-0.0169017502350763,-0.0641335152723603,0.0534498318155703,0.1959188000027862,0.0953291613662886,0.0001614391143974,0.0581897850542836,0.095842351793352,0.0236408989183194,0.0844891838109248
chlormezanone,0.2037498318557028,-0.2560680308020043,0.0911341960239298,-0.0024883739903844,-0.1554659973368123,-0.2925169373928022,0.0170814268295036,-0.0082132191745412,-0.0063692136084943,-0.1879678538554978,-0.1471087540671033,0.1907176721291833,0.3946715244723169,-0.1154690207078524,-0.1114450785266324,-0.1002124526320172,0.0951610544404682,0.2779234393744814,0.0803630363036259,-0.2929589581573424,-0.0091523848080039,-0.0001139549877836,-0.1232559099012426,-0.1446481597249618,-0.1826461220887828,-0.2488719622921548,-0.200147349765157,-0.1185617861374322,-0.1473123116368928,0.1135875249595916,0.2109750448728273,0.5244001638714924,0.4703281439534549,-0.1545851137358876,-0.1824523071905782,0.3224077419977865,-0.0607568350680615,-0.0454937523312256,0.1495615113515377,0.0834984692259015,0.2030818697485064,0.2061334452958306,0.0851587496923492,-0.005482494248157,-0.1242028156508904,0.3716635916359218,-0.0802549969867336,0.0429588521414641,-0.2493985453188791,0.0189746256598701
chlorpheniramine,-0.0946826342507178,0.1879918456516664,0.0873849263370597,0.2018438443338421,0.0756693298452844,0.240972165537524,0.0644476601822595,0.1420793702853248,0.1838891987358161,0.1457537350421068,0.096131043916035,-0.228360050439376,-0.24889957829993,0.0362098836729764,0.1899429326039022,0.1480297715078837,-0.0250850060326466,-0.0864306206890619,0.0335548028487057,0.0059923760364474,0.0848139984706014,0.0694600632749994,0.1666079786305352,0.2360062416973226,0.1300571327366582,0.2564415591593091,0.2197649616684227,0.1078499498196404,0.1540416535469097,0.0043960571772734,-0.0625007237566037,-0.3718895193261706,-0.396296203183939,0.0076700721675195,0.2118995597586921,-0.2408676362361679,0.1130355957718903,0.1417125139873322,0.011583749965862,0.0104463302408986,-0.1441259441259471,-0.1527996454520565,-0.0203872343916465,0.1966833950801925,0.1300097042342476,-0.134601783517818,0.1710764865408212,-0.0568127459849057,0.2254639127192234,0.1331212568386989
chlorpromazine,0.0765211451554649,0.033553223920111,-0.0873898608852302,-0.1466101003508349,-0.0063780770907684,-0.0149028650722415,0.0295927718861634,0.1443475859211699,0.1268451385015717,0.0613750619556756,0.0635380076727655,-0.0403086945601668,-0.2859809213600677,-0.1431730055276205,0.0534372494458309,0.0915267512099754,0.0901722057694853,-0.2800456719587003,0.0080148804354147,0.125973390290576,0.0313046346692995,-0.0743931147196935,0.0164147398760739,0.0417224251777676,0.0688509021842314,0.240742787664409,0.1083680240705628,0.0447962317505599,0.0563222527101756,-0.1754714589077958,0.0034957443112749,-0.1770688781432121,-0.3166595435775486,-0.0255902261845762,0.063303440404373,0.1327952513282876,0.0257154766337026,-0.0432464565460656,0.0708958282108079,-0.0757341122044921,-0.0135013801680469,-0.0003498827892393,-0.1452949380589511,0.0391993994453243,0.0029027328375966,-0.2519577695776742,-0.0179602752109163,-0.0595040754756269,-0.0666029466616691,0.0699929190565527
chlorpropamide,0.0608815815960012,-0.150064110121171,-0.064157021269895,-0.0270049767480053,-0.0972885070880539,0.0660884825728441,-0.0999277011736656,0.0484697312319805,-0.0148949618888383,-0.1268165403951485,-0.0966019918416119,-0.0192202627088524,-0.3677493193195645,-0.1603993069879227,0.0701414894118651,-0.0247120399204649,0.1222953456911975,-0.2918414791304206,-0.0551415667882636,-0.2450421987866869,-0.1009566221342599,-0.0080968017633085,-0.0166315817753053,-0.1175702801437855,-0.0949560740557634,-0.3597966571396465,-0.2589053870251591,0.0399320604898979,-0.0097611443479861,-0.1404377040347265,-0.0923701580684069,-0.1397478462260046,0.0214729710195009,-0.051498056597909,0.1244969835317263,0.2327428639218665,-0.0664820645223916,0.1253613390525942,0.0438597929131567,-0.0556424796045378,-0.1652864986198374,0.1548697852886081,-0.1022643366970294,-0.011260400230767,-0.0281906583227179,-0.2110444854448465,0.0470959722780324,0.0154997134616227,-0.0858331779186801,0.1613174200803347
cimetidine,-0.1212599228969717,0.1370944604473626,0.0611291825229985,0.094884555764034,0.0627172670602581,0.2676332544282195,0.0230858775187163,-0.0007949111874528,0.1558505298382503,0.0441846633151409,0.0282184308075857,-0.0631008759551232,-0.1082372825390382,0.1425624948436367,0.0797736169409889,0.1045717180054635,-0.1843735146796242,0.0440499587127111,-0.0437858259510207,0.2096960797401357,-0.011251555635528,-0.0579686024020538,0.0634828646925562,-0.0110548370711986,0.0843402558300695,0.2221484233131634,0.1046811886901349,-0.0280929270907302,0.1159941822979898,0.1020205381762906,-0.050744021770608,-0.2643452716433037,-0.3866093257995246,0.0531644294456952,0.3727800423936143,-0.2446696601328077,0.037146207326356,-0.0953632040283744,-0.1391006201677392,0.0146742249008365,0.0220098886765574,0.1022765706821809,-0.1193289031093641,0.2127781214594236,0.0563770479206985,-0.0393937064370536,0.1806373041382246,-0.0236435604643324,0.3207898172324525,-0.0391663484399872
