drug_key,y_hard,OR,PC1,PC2,kmeans,agglo
moxisylyte,1,1,-3.068549429863916,2.2164959258136636,1,0
naproxen,1,1,5.710059213286387,3.154494612299617,0,0
nicotinicacid,1,1,4.2896749109416135,-1.8298000185160133,0,0
nifedipine,1,1,-4.019516269188498,1.2972474313938702,1,1
nimesulide,1,1,-4.959476756813216,-2.4120539085592387,1,1
nitrofurantoin,1,0,3.079718689505266,-4.574295987254731,0,0
omeprazole,1,1,-5.1871001729168205,-2.5981293965535914,1,1
papaverine,1,1,-1.1102431230759093,-3.086622748160077,0,0
pemoline,1,0,5.632012151382132,2.3822826565354025,0,0
penicillamine,1,0,3.7693527525814927,-0.5884852840075421,0,0
perhexiline,1,0,0.10172101857470658,-3.032432702759689,0,0
phenobarbital,1,1,-2.598239317859372,-2.0696456374522,1,0
phenytoin,1,1,-2.1965600085903176,-1.4416640925339197,1,0
propranolol,0,0,-2.4110698201800838,-1.7059223578389042,1,0
propylthiouracil,1,1,-0.615325962505076,-2.003778883698842,0,0
quinidine,1,1,-1.1359403671626396,-2.2446148766585416,0,0
ranitidine,1,0,1.903794061327702,-1.5574421737447277,0,0
rifampicin,1,1,0.8372002743193065,1.5390775998191717,0,0
simvastatin,1,1,-5.447116373404223,4.20901567444835,1,1
sulfasalazine,1,1,0.34026596611306165,-3.2998723775099,0,0
sulindac,1,1,4.805292183954171,7.056445658204951,0,0
tamoxifen,1,1,-0.8261611644651989,3.1408657082852987,0,0
terbinafine,1,1,-8.668570152575523,-1.8130319460456918,1,1
tetracycline,1,1,3.1015795258581917,-1.651745569610078,0,0
theophylline,0,0,-1.4161803385962592,1.9573861581742804,0,0
thioridazine,1,1,-0.9221938042351266,1.3885259924653766,0,0
ticlopidine,1,1,-9.271364388128644,2.1915258816751626,1,1
tolbutamide,1,1,-0.26977512460793096,-3.0480943192898806,0,0
triamterene,1,0,4.988140597037124,-1.4684384386870442,0,0
valproicacid,1,0,-0.7225537328641187,-3.647934108411781,0,0
vitamina,1,1,3.0974802744274204,2.903812830980184,0,0
